"","date","pop","cruise","abundance_dawn","Qc_dawn","Qc_min","Qc_mean","data_day","n","r","r_se","r_p","log_Qc0","log_Qc0_se","log_Qc0_p","rmax","rmin","year","month","season","daylength","day","PP_exp"
"1",2013-09-04,"croco","KM1314",0.201104231966133,0.72372847140625,0.72372847140625,1.04438664275611,11,12,0.0714535013735535,0.00581218565809891,2.32638467010993e-07,-0.383189644515549,0.0377419307875324,1.38293251389303e-06,0.0772656870316525,0.0656413157154546,2013,9,"fall",12.5116666666667,247,0.19807994523685
"2",2013-09-04,"euk","KM1314",4.09273444369437,0.39330231640625,0.39330231640625,0.618339269850123,11,12,0.0811925925579745,0.0041650413560971,2.75688254581055e-09,-0.966906074868423,0.0270460566534008,6.96278435969939e-12,0.0853576339140717,0.0770275512018774,2013,9,"fall",12.5116666666667,247,2.74175816461276
"3",2013-09-04,"prochloro","KM1314",163.446082931898,0.037257436625,0.0350569944117647,0.0362986914260315,11,12,0.0048170893763156,0.00211978183651756,0.0463774232877212,-3.34287492750483,0.0137649868852749,3.44603631752071e-20,0.00693687121283316,0.00269730753979804,2013,9,"fall",12.5116666666667,247,0.358785931825423
"4",2013-09-04,"synecho","KM1314",2.43497894197618,0.08370455196875,0.08370455196875,0.0893060701947304,11,12,0.0107053623964878,0.00138273850283073,1.56703657612486e-05,-2.47535744737046,0.00897893218506775,9.69854096336192e-21,0.0120881008993186,0.00932262389365712,2013,9,"fall",12.5116666666667,247,0.0293621182145954
"5",2014-12-09,"euk","KM1427",3.51809533580027,0.0503571143,0.0498249875,0.0663097952425704,10,11,0.065242209110815,0.0118645513302022,0.000380718083749083,-3.06826202488067,0.0701916322601568,8.57152441292703e-12,0.0771067604410172,0.0533776577806128,2014,12,"winter",10.7752777777778,343,0.166838837556738
"6",2014-12-09,"prochloro","KM1427",268.883765473543,0.02348847595,0.02348847595,0.0306968324833333,10,11,0.051036333814153,0.00496344978414608,2.83649505563906e-06,-3.75276448945717,0.0293641649224168,5.58584913756886e-16,0.055999783598299,0.0460728840300069,2014,12,"winter",10.7752777777778,343,4.62319656150906
"7",2014-12-09,"synecho","KM1427",1.99832762124409,0.13213015365,0.13213015365,0.157141264781991,10,11,0.0352165722121412,0.00354708454229906,3.79893531208641e-06,-2.03340856323104,0.0209848351496406,6.7343685969836e-15,0.0387636567544402,0.0316694876698421,2014,12,"winter",10.7752777777778,343,0.120711101579845
"8",2014-12-10,"prochloro","KM1427",302.4004810327,0.0233802973125,0.0233802973125,0.0311787215733852,10,11,0.0560085420170638,0.00284981354670984,1.0592575172743e-08,-3.76412284956626,0.0168597243092935,3.69173218520823e-18,0.0588583555637737,0.053158728470354,2014,12,"winter",10.7691666666667,344,5.80524074516024
"9",2014-12-10,"synecho","KM1427",1.96986786160508,0.11115641853125,0.11115641853125,0.148424460890401,10,11,0.0370698708811169,0.00462519206716575,2.18108512743649e-05,-2.1006139655749,0.027363005281512,5.46408673322992e-14,0.0416950629482827,0.0324446788139512,2014,12,"winter",10.7691666666667,344,0.118283179019866
"10",2014-12-11,"prochloro","KM1427",280.081761920915,0.0231961302368421,0.0231961302368421,0.0299119588692398,9,10,0.0569785939410308,0.00153087189616833,2.97873397229701e-10,-3.77942491171209,0.00817261951461243,5.35357646506568e-19,0.0585094658371991,0.0554477220448624,2014,12,"winter",10.7636111111111,345,5.41416761809643
"11",2014-12-11,"synecho","KM1427",2.28849322104084,0.120539504578947,0.120539504578947,0.145628167362339,9,10,0.0416542703262506,0.00182905779192061,1.46496024489912e-08,-2.12137774032676,0.00976449658591196,2.25531833954698e-16,0.0434833281181712,0.03982521253433,2014,12,"winter",10.7636111111111,345,0.155186531731578
"12",2015-05-23,"prochloro","KM1508",178.209714908144,0.021437321,0.021437321,0.0265063478612793,12,13,0.0324798983420818,0.00118015163019638,1.70141007341114e-11,-3.83266391820157,0.00834493220540222,6.54748430912222e-25,0.0336600499722782,0.0312997467118854,2015,5,"spring",13.34,143,2.09254534809367
"13",2015-05-23,"synecho","KM1508",1.67177811902677,0.1180208302,0.1180208302,0.139233056111744,12,13,0.0248690703003834,0.00131113251535448,9.42951928090879e-10,-2.12523054331998,0.00927110692641327,1.36636289977898e-21,0.0261802028157379,0.0235579377850289,2015,5,"spring",13.34,143,0.0785321048856967
